task,model,run,build_ok,test_ok,in_tok,out_tok,cost_usd,latency_s,workdir
sb-feat1-name-length,minimax/minimax-m3,1,True,True,744,1371,0.0019,23.7,results\sb-feat1-name-length__minimax_minimax-m3__r1
sb-feat1-name-length,minimax/minimax-m3,2,True,True,744,687,0.001,11.0,results\sb-feat1-name-length__minimax_minimax-m3__r2
sb-feat1-name-length,minimax/minimax-m3,3,True,True,744,1378,0.0019,23.5,results\sb-feat1-name-length__minimax_minimax-m3__r3
sb-feat1-name-length,deepseek/deepseek-v4-flash,1,True,True,595,509,0.0001,11.0,results\sb-feat1-name-length__deepseek_deepseek-v4-flash__r1
sb-feat1-name-length,deepseek/deepseek-v4-flash,2,True,True,612,905,0.0002,10.8,results\sb-feat1-name-length__deepseek_deepseek-v4-flash__r2
sb-feat1-name-length,deepseek/deepseek-v4-flash,3,True,True,595,2096,0.0004,16.4,results\sb-feat1-name-length__deepseek_deepseek-v4-flash__r3
sb-feat1-name-length,z-ai/glm-4.7,1,True,True,560,2631,0.0048,38.4,results\sb-feat1-name-length__z-ai_glm-4.7__r1
sb-feat1-name-length,z-ai/glm-4.7,2,False,False,560,2616,0.0048,125.0,results\sb-feat1-name-length__z-ai_glm-4.7__r2
sb-feat1-name-length,z-ai/glm-4.7,3,True,True,560,2586,0.0047,128.2,results\sb-feat1-name-length__z-ai_glm-4.7__r3
bug1-petvalidator,qwen/qwen3.7-plus,1,True,True,563,1847,0.0025,35.4,results\bug1-petvalidator__qwen_qwen3.7-plus__r1
bug1-petvalidator,qwen/qwen3.7-plus,2,True,True,563,1997,0.0027,37.7,results\bug1-petvalidator__qwen_qwen3.7-plus__r2
bug1-petvalidator,qwen/qwen3.7-plus,3,True,True,563,1855,0.0026,50.9,results\bug1-petvalidator__qwen_qwen3.7-plus__r3
bug1-petvalidator,google/gemini-3.1-flash-lite,1,True,True,572,486,0.0009,2.2,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r1
bug1-petvalidator,google/gemini-3.1-flash-lite,2,True,True,571,486,0.0009,3.0,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r2
bug1-petvalidator,google/gemini-3.1-flash-lite,3,True,True,572,486,0.0009,2.4,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r3
bug1-petvalidator,qwen/qwen3-coder-next,1,True,True,529,433,0.0004,3.1,results\bug1-petvalidator__qwen_qwen3-coder-next__r1
bug1-petvalidator,qwen/qwen3-coder-next,2,True,True,529,433,0.0004,24.6,results\bug1-petvalidator__qwen_qwen3-coder-next__r2
bug1-petvalidator,qwen/qwen3-coder-next,3,True,True,529,433,0.0004,2.8,results\bug1-petvalidator__qwen_qwen3-coder-next__r3
bug1-petvalidator,tencent/hy3-preview,1,True,True,567,1181,0.0003,8.8,results\bug1-petvalidator__tencent_hy3-preview__r1
bug1-petvalidator,tencent/hy3-preview,2,True,True,567,879,0.0003,6.8,results\bug1-petvalidator__tencent_hy3-preview__r2
bug1-petvalidator,tencent/hy3-preview,3,True,True,567,911,0.0003,7.3,results\bug1-petvalidator__tencent_hy3-preview__r3
bug1-petvalidator,qwen/qwen3-coder,1,True,False,529,422,0.0009,11.2,results\bug1-petvalidator__qwen_qwen3-coder__r1
bug1-petvalidator,qwen/qwen3-coder,2,False,False,529,429,0.0009,5.9,results\bug1-petvalidator__qwen_qwen3-coder__r2
